,positive1,positive2,positive3,control1,control2,control3
URIAAL_R14263,5.886016973,6.008964029,5.754070316,6.030894245,6.911871644,6.205273952
URIAAL_R14694,4.363545172,5.663832205,4.363545172,5.702868692,5.098372679,4.768462915
URIAAL_R09903,7.599711051,7.340273809,6.578813466,7.903587447,6.478465989,6.36732673
URIAAL_R14262,10.22344398,9.554109491,9.95376026,9.827575785,9.61914275,9.73594062
URIAAL_R09911,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172
URIAAL_R14261,8.336748945,8.279086355,8.119775618,7.871095073,9.319561754,7.922683522
URIAAL_R09910,9.787972694,12.30150929,10.62607354,11.42168669,10.27664185,9.629894714
URIAAL_R14270,12.27698617,12.42283223,12.88810066,12.24493766,13.44317743,12.16997693
URIAAL_R09909,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172
URIAAL_R15466,4.363545172,4.363545172,4.363545172,4.926588771,4.363545172,4.363545172
URIAAL_R14269,4.363545172,4.363545172,4.363545172,4.363545172,4.790835485,4.363545172
URIAAL_R09905,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172
URIAAL_R09904,9.212818441,9.945579866,9.601430066,9.97906442,10.67368555,10.47595697
URIAAL_R14268,13.24489248,12.72714637,13.17720438,11.78621775,12.85113873,13.15530303
URIAAL_R09902,7.085227234,7.554267565,7.598899586,6.800401778,7.663835753,8.084231061
URIAAL_R14273,5.672876026,5.965671312,6.56237004,5.326964755,6.582965508,5.60916277
URIAAL_R14267,5.763217136,5.747465492,6.1343018,5.469511828,5.643016455,5.956403081
URIAAL_R14266,8.298711605,7.964841379,8.732359702,7.978667401,7.650699457,8.484944803
URIAAL_R14260,5.106768862,6.240187647,6.012324482,5.154913227,4.965656574,5.516985098
URIAAL_R15542,4.363545172,4.777125374,4.363545172,4.363545172,4.363545172,4.363545172
URIAAL_R14265,4.363545172,4.946467387,4.363545172,5.424478923,4.363545172,4.363545172
URIAAL_R14264,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172
URIAAL_R09901,4.363545172,4.363545172,4.363545172,4.363545172,5.035531377,4.363545172
URIAAL_R14271,4.363545172,4.86921915,4.685980511,5.01234472,4.363545172,4.363545172
URIAAL_R09906,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172
URIAAL_R09908,8.932239319,9.302770602,8.770467149,8.983160468,8.608210393,9.187780856
URIAAL_R09900,9.066247181,9.760973358,9.144601945,9.222105294,9.352082549,9.598322029
URIAAL_R14274,5.192272678,4.363545172,4.363545172,4.363545172,4.363545172,4.858662109
URIAAL_R14272,4.363545172,5.075108153,4.363545172,4.363545172,4.363545172,4.363545172
URIAAL_R15541,4.363545172,4.946467387,4.363545172,4.363545172,4.666235093,4.363545172
URIAAL_R11255,7.599711051,8.275107967,8.576775736,7.202772374,8.128051139,8.08858801
URIAAL_R11256,7.054519961,7.407968595,7.82798139,7.081301236,7.752524203,6.780738341
URIAAL_R11257,10.21499209,10.74281493,11.18169373,10.03255225,10.97036825,10.52073371
URIAAL_R09980,12.71952495,12.04803938,12.1708767,11.33685164,12.05083809,12.24150679
URIAAL_R09981,10.54670985,10.98091804,9.443391787,10.33533452,10.10134599,9.752425052
URIAAL_R11252,12.57646716,12.43353351,11.2718126,11.8689759,12.32924951,11.80171498
URIAAL_R09985,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172
URIAAL_R11253,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172,4.363545172
URIAAL_R09982,4.363545172,4.946467387,4.363545172,4.689988651,4.965656574,4.363545172
URIAAL_R11258,7.159131035,8.509750399,6.984376372,7.159825198,9.026461635,6.747026306
URIAAL_R09983,9.939329651,9.776475743,9.79506215,9.323414441,9.154183726,9.717867082
URIAAL_R09986,4.363545172,4.363545172,4.363545172,4.689988651,4.363545172,4.363545172
URIAAL_R09984,6.941288325,7.662486304,5.846902511,6.618365353,5.919985035,4.934336631
URIAAL_R11254,6.661245829,6.240187647,6.157282142,7.72587072,6.757479048,6.483555247
URIAAL_R09987,10.4376238,7.656345049,9.183600096,9.068246296,8.982969277,8.96522558
URIAAL_R14728,10.00552162,10.03382254,10.33799019,9.594476342,10.28297633,9.841150499
URIAAL_R11695,7.334656645,6.341325718,6.307161417,6.828475543,5.967976044,6.524581044
URIAAL_R11826,10.43034147,10.15843161,10.36083177,9.397811247,9.497254972,10.55558029
URIAAL_R11696,9.623951679,9.790425555,10.15275893,9.284722933,9.28418407,9.897816239
URIAAL_R01746,7.589168482,8.861838852,6.922580976,7.688983461,7.490124187,8.420886675
URIAAL_R01747,4.363545172,4.363545172,5.145389309,5.01234472,4.666235093,4.363545172
URIAAL_R11751,4.363545172,4.363545172,4.363545172,5.087435481,4.363545172,4.363545172
URIAAL_R01696,11.58774783,12.48716527,12.03691241,12.09523015,12.54945111,11.90756575
URIAAL_R01697,5.924129206,6.449951317,6.703472728,6.444809483,6.330371712,6.469586992
URIAAL_R01740,7.187620988,10.63024737,7.97837195,10.48883733,10.73656797,8.092931689
URIAAL_R11697,5.573906482,6.030025419,5.456495784,5.630955528,6.036443225,5.213003633
URIAAL_R01748,9.171442888,8.785767594,8.980049286,9.145882332,9.307174543,8.875149777
URIAAL_R11752,9.020362808,8.705441279,9.294628668,9.196275022,8.962038022,8.035404792
URIAAL_R11698,5.403613926,4.363545172,4.818598514,4.824231677,4.885923333,4.650333526
URIAAL_R11753,9.955657494,8.629714627,10.04967766,9.57857554,9.573342501,9.75379028
URIAAL_R01749,13.03939643,11.82100111,12.34704458,12.73074599,12.35502575,11.97697425
URIAAL_R01750,10.1824153,10.5439807,10.06922848,11.77362404,11.2409215,10.58807543
URIAAL_R11739,5.573906482,5.965671312,5.206368921,5.630955528,6.625322581,6.288913891
URIAAL_R11754,7.28296808,6.834245654,7.808011704,7.877653259,7.429680058,6.096780227
URIAAL_R01698,4.363545172,4.363545172,4.363545172,5.01234472,4.363545172,4.363545172
URIAAL_R01751,5.338961133,4.656489436,5.539660706,4.824231677,5.098372679,4.363545172
URIAAL_R01738,9.725063059,9.386010485,9.289871725,8.823485757,9.471589011,9.260698654
URIAAL_R11738,4.738226096,6.204569259,5.846902511,5.469511828,6.934137876,6.336542105
URIAAL_R11821,5.268971085,6.050718136,5.315501485,4.926588771,6.101166047,5.956403081
URIAAL_R11699,8.121078045,8.055944825,8.001960823,6.618365353,6.98826367,7.254117166
URIAAL_R11755,10.59048807,10.40405842,10.40435835,9.849270306,10.61129557,10.71680314
URIAAL_R11756,10.29094195,10.46358246,10.33106656,9.870643108,10.15067635,10.71119452
